base_meaning,person,hebrew,french
Dans,base,בּ,Dans
Dans,1S,בִּי,Dans moi
Dans,2MS,בְּךָ,Dans toi (M)
Dans,2FS,בָּךְ,Dans toi (F)
Dans,3MS,בּוֹ,Dans lui
Dans,3FS,לָהּ,Dans elle
Dans,1P,בָּנוּ,Dans nous
Dans,2MP,בָּכֶם,Dans vous (M)
Dans,2FP,בָּכֶן,Dans vous (F)
Dans,3MP,בָּהֶם,Dans eux
Dans,3FP,בָּהֶן,Dans elles
Comme,base,כְּ,Comme
Comme,1S,כָּמוֹנִי,Comme moi
Comme,2MS,כָּמוֹךָ,Comme toi (M)
Comme,2FS,כָּמוֹךְ,Comme toi (F)
Comme,3MS,כָּמוֹהוּ,Comme lui
Comme,3FS,כָּמוֹהָ,Comme elle
Comme,1P,כָּמוֹנוּ,Comme nous
Comme,2MP,כָּכֶם,Comme vous (M)
Comme,2FP,כָּכֶן,Comme vous (F)
Comme,3MP,כָּהֶם,Comme eux
Comme,3FP,כָּהֶן,Comme elles
Pour,base,לְ,Pour
Pour,1S,לִי,Pour moi
Pour,2MS,לְךָ,Pour toi (M)
Pour,2FS,לָךְ,Pour toi (F)
Pour,3MS,לוֹ,Pour lui
Pour,3FS,לָהּ,Pour elle
Pour,1P,לָנוּ,Pour nous
Pour,2MP,לָכֶם,Pour vous (M)
Pour,2FP,לָכֶן,Pour vous (F)
Pour,3MP,לָהֶם,Pour eux
Pour,3FP,לָהֶן,Pour elles
De,base,מִן,De
De,1S,מִמֶּנִּי,De moi
De,2MS,מִמְּךָ,De toi (M)
De,2FS,מִמְּךְ,De toi (F)
De,3MS,מִמֶּנּוּ,De lui
De,3FS,מִמֶּנָּה,D’elle
De,1P,מִמֶּנּוּ,De nous
De,2MP,מִכֶּם,De vous (M)
De,2FP,מִכֶּן,De vous (F)
De,3MP,מֵהֶם,D’eux
De,3FP,מֵהֶן,D’elles
Avec,base,עִם,Avec
Avec,1S,עִמִּי,Avec moi
Avec,2MS,עִמְּךָ,Avec toi (M)
Avec,2FS,עִמָּךְ,Avec toi (F)
Avec,3MS,עִמּוֹ,Avec lui
Avec,3FS,עִמָּהּ,Avec elle
Avec,1P,עִמָּנוּ,Avec nous
Avec,2MP,עִמָּכֶם,Avec vous (M)
Avec,2FP,עִמָּכֶן,Avec vous (F)
Avec,3MP,עִמָּם,Avec eux
Avec,3FP,עִמָּן,Avec elles
Sur,base,עַל,Sur
Sur,1S,עָלַי,Sur moi
Sur,2MS,עָלֶיךָ,Sur toi (M)
Sur,2FS,עָלַיִךְ,Sur toi (F)
Sur,3MS,עָלָיו,Sur lui
Sur,3FS,עָלֶיהָ,Sur elle
Sur,1P,עָלֵינוּ,Sur nous
Sur,2MP,עֲלֵיכֶם,Sur vous (M)
Sur,2FP,עֲלֵיכֶן,Sur vous (F)
Sur,3MP,עֲלֵיהֶם,Sur eux
